SINONIMIA,MEDICAMENTO
17 B ESTRADIOL (H)                                ,ESTRADIOL
"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN               ",DIOXIN
5 HIDROXI TRIPTOFANO (H)                          ,TRIPTOFANO 5 OH
5 OH TRIPTOFANO (H)                               ,TRIPTOFANO 5 OH
5-FLUORACIL (H)                                   ,FLUORACIL-5
A. METALLICUM                                     ,ARSENICUM ALBUM
ABACATEIRO                                        ,PERSEA GRATISSIMA
ABACAXI                                           ,BROMELIA SATIVA
ABALON ALBIFLORUM                                 ,HELONIAS DIOICA
ABELHA                                            ,APIS MELLIFICA
ABELMOSCHUS ESCULENTUS                            ,ABELMOSCHUS
ABELMOSCHUS MOSCHATUS                             ,ABELMOSCHUS
ABIES                                             ,ABIES CANADENSIS
ABIES CAN                                         ,ABIES CANADENSIS
ABIOTO                                            ,CONIUM MACULATUM
ABROMA                                            ,ABROMA AUGUSTA
ABROTANUM ALPESTRE                                ,ABROTANUM
ABSINTHIUM AUSTRIACUM TENUIFLORUM                 ,CINA
ABSINTHIUM MAJUS                                  ,ABSINTHIUM
ABSINTHIUM OFFICINALE                             ,ABSINTHIUM
ABSINTHIUM PONTICUM TENUIFLORUM                   ,CINA
ABSINTHIUM RUSTICANS                              ,ABSINTHIUM
ABSINTHIUM RUSTICUM                               ,ABSINTHIUM
ABSINTHIUM SANTONICUM GALLICUM                    ,CINA
ABSINTHIUM SERIPHIUM                              ,CINA
ABSINTHIUM TRIDENTIUM HERBARIOR                   ,CINA
ABSINTHIUM VULGARE                                ,ABSINTHIUM
ABUTUA                                            ,PARREIRA BRAVA
ABUTUA RUFESCENS                                  ,PARREIRA BRAVA
AC LISERGICUM                                     ,ACIDUM LYSERGICUM
ACACIA CATECHU                                    ,ARECA CATECHU
ACACIA CATECHUOIDES                               ,ARECA CATECHU
ACACIA CHUNDRA                                    ,ARECA CATECHU
ACACIA GERMANICA                                  ,PRUNUS SPINOSA
ACACIA NOSTRATES                                  ,PRUNUS SPINOSA
ACACIA SANDRA                                     ,ARECA CATECHU
ACACIA SUMA                                       ,ARECA CATECHU
ACACIA SUNDRA                                     ,ARECA CATECHU
ACACU                                             ,HURA BRASILIENSIS
ACAFRAO                                           ,TURMERIC CURCUMA LONGA
ACAI POLPA DA FRUTA (H)                           ,ACAI
ACALYPHA CANESCANS                                ,ACALYPHA INDICA
ACALYPHA CILIATA                                  ,ACALYPHA INDICA
ACALYPHA SPICATA                                  ,ACALYPHA INDICA
ACANTHIA LECTULARIA                               ,CIMEX LECTULARIUS
ACANTHIS VIRILIS                                  ,MARAPUAMA
ACANTHUS LATIFOLIUS                               ,ACANTHUS MOLLIS
ACANTHUS SATIVUS                                  ,ACANTHUS MOLLIS
ACAROS DA POEIRA DOMESTICA                        ,ACAROS
ACETAS BARYTAE                                    ,BARYTA ACETICA
ACETAS CALCICUS                                   ,CALCAREA ACETICA
ACETAS CUPRI                                      ,CUPRUM ACETICUM
ACETAS CUPRICUS                                   ,CUPRUM ACETICUM
ACETAS FERRI                                      ,FERRUM ACETICUM
ACETAS KALICUS                                    ,KALI ACETICUM
ACETAS MANGANOSUS                                 ,MANGANUM ACETICUM
ACETAS MORPHICUS                                  ,MORPHIA ACETICA
ACETAS PLUMBI                                     ,PLUMBUM ACETICUM
ACETAS PLUMBICUS                                  ,PLUMBUM ACETICUM
ACETAS POTASSICUS                                 ,KALI ACETICUM
ACETAS ZINCICUS                                   ,ZINCUM ACETICUM
ACETICUM ACIDUM                                   ,ACIDUM ACETICUM
ACETYLCHOLINI CHLORIDUM                           ,ACETILCOLINA
ACETYLCHOLINUM                                    ,ACETILCOLINA
ACETYLSALICYLICUM ACIDUM                          ,ACIDUM ACETYLSALICYLICUM
ACHILLEA                                          ,ACHILLEA MILLEFOLIUM
ACHILLEA ALBA                                     ,ACHILLEA MILLEFOLIUM
ACHILLEA MYRIOPHYLLI                              ,ACHILLEA MILLEFOLIUM
ACHILLEA SETACEA                                  ,ACHILLEA MILLEFOLIUM
ACHOCOLATADO (H)                                  ,ACHOCOLATADO PO
ACIDI LACTICI                                     ,ACIDUM LACTICUM
ACIDO ACETILSALICILICO (H)                        ,ACIDUM ACETYLSALICYLICUM
ACIDO GLUTAMICO (H)                               ,ACIDUM GLUTAMICUM
ACIDO LIPOICO (H)                                 ,ACIDUM LIPOICUM
ACIDO PANTOTENICO (H)                             ,PANTOTENATO CALCIO
ACIDO PARA-AMINOBENZOICO (H)                      ,ACIDUM PARAAMINOBENZOICUM
ACIDO PIRUVICO (H)                                ,PIRUVATO CALCIO
ACIDO TRICLOROACETICO(H)                          ,ACIDUM TRICLOROACETICUM
ACIDO WOLFRANICO                                  ,ACIDUM WOLFRANICUM
ACIDUM ACETICUM GLACIALE                          ,ACIDUM ACETICUM
ACIDUM ARSENICOSUM                                ,ARSENICUM ALBUM
ACIDUM ARSENIOSUM                                 ,ARSENICUM ALBUM
ACIDUM ASCORBICUM                                 ,VITAMINA C
ACIDUM AZOTICUM                                   ,ACIDUM NITRICUM
ACIDUM BENZ                                       ,ACIDUM BENZOICUM
ACIDUM BENZOICUM SUBLIMATUM                       ,ACIDUM BENZOICUM
ACIDUM BENZOICUM TRIOXYDATUM                      ,ACIDUM GALLICUM
